NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
0	0	0	94	0	0	0	0	0	7	0	0
20	15	17	14	18	12	4	0	0	0	0	0
0	23	21	0	23	17	0	0	16	0	0	0
33	5	3	13	16	0	3	7	7	12	0	0
21	12	21	25	6	14	0	0	0	0	0	0
0	17	0	0	26	0	0	0	14	15	27	0
0	0	0	0	0	0	76	0	0	23	0	0
0	0	0	0	0	0	0	0	0	0	45	54
26	0	0	20	20	22	0	0	10	0	0	0
17	22	19	15	18	3	0	0	4	0	0	0
11	14	15	19	15	11	0	0	0	0	13	0
10	0	0	0	0	0	35	11	25	11	0	6
15	0	9	24	12	0	6	0	11	0	8	12
15	25	22	0	5	14	0	0	0	16	0	0
11	6	16	16	12	0	0	8	0	9	0	19
17	23	16	19	0	10	0	0	11	0	0	0
7	0	0	0	0	0	6	0	0	77	6	0
0	0	0	0	0	0	16	25	0	17	0	38
14	8	19	14	9	0	0	4	4	10	7	6
13	13	16	20	16	0	4	0	13	0	0	0
0	0	21	0	0	0	0	23	13	18	0	20
30	0	0	18	20	0	0	0	0	0	26	0
20	11	15	20	17	11	0	0	0	0	0	0
16	17	13	18	9	10	0	0	0	6	5	0
16	15	0	0	0	0	0	0	18	19	26	0
14	16	0	18	35	11	0	0	0	0	0	0
0	0	0	26	19	31	0	18	0	0	0	0
26	0	26	28	8	5	0	0	0	0	0	0
21	25	20	18	0	0	0	0	0	9	0	0
20	16	18	18	13	0	4	4	0	0	0	0
16	18	13	16	9	7	0	0	7	7	0	0
14	19	10	16	15	13	0	6	0	0	0	0
12	22	14	14	11	0	0	0	5	6	4	5
8	0	3	10	13	6	10	10	15	7	4	7
30	0	15	23	24	0	0	0	0	0	0	0
26	13	17	12	12	12	0	0	0	0	0	0
14	10	10	19	16	13	0	0	0	6	0	4
6	0	11	0	0	0	15	22	14	3	9	12
19	0	0	25	47	0	0	0	0	0	0	0
14	0	0	18	0	0	0	0	0	35	0	24
9	10	10	14	16	12	0	7	0	0	7	6
27	15	19	11	10	0	0	0	8	0	0	0
23	18	21	15	7	4	0	0	0	2	0	0
23	6	17	13	16	0	3	0	4	4	0	4
17	14	18	7	20	14	0	0	0	0	0	0
0	0	16	15	25	0	16	0	0	17	0	0
24	20	22	0	10	12	0	0	0	0	0	0
15	0	18	20	26	0	0	5	0	0	0	4
14	14	14	11	18	0	0	10	0	0	7	0
25	9	22	15	7	0	0	9	0	0	0	0
22	8	13	16	15	0	0	13	0	0	0	0
17	19	22	11	8	10	0	0	0	0	0	0
